[2025-03-12 23:33:05,485][hydra.utils][INFO] - Instantiating <diffcsp.pl_data.datamodule.CrystDataModule>
[2025-03-12 23:33:28,507][hydra.utils][INFO] - Instantiating <diffcsp.pl_modules.diffusion.CSPDiffusion>
[2025-03-12 23:33:30,766][hydra.utils][INFO] - Passing scaler from datamodule to model <StandardScalerTorch(means: [2.371164083480835, 2.440631866455078, 2.480224132537842, 89.99371337890625, 89.99662780761719, 89.9962158203125], stds: [0.22875303030014038, 0.23721981048583984, 0.24010582268238068, 2.568939447402954, 2.5770559310913086, 2.574657678604126])>
[2025-03-12 23:33:30,769][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2025-03-12 23:33:30,769][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2025-03-12 23:33:30,770][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2025-03-12 23:33:30,775][hydra.utils][INFO] - Instantiating <WandbLogger>
[2025-03-12 23:33:30,778][hydra.utils][INFO] - W&B is now watching <{cfg.logging.wandb_watch.log}>!
[2025-03-12 23:33:30,793][hydra.utils][INFO] - Instantiating the Trainer
[2025-03-12 23:33:30,823][hydra.utils][INFO] - Starting training!
[2025-03-12 23:34:12,927][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2025-03-12 23:34:12,927][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for 4 nodes.
